City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Isangel,VU,80.37,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
292,Ouallam,NE,75.33,clear sky,14.3188,2.0866,
295,Pringsewu,ID,84.56,overcast clouds,-5.3582,104.9744,Urban Style by Front One
298,Lorengau,PG,82.11,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
302,Sabang,ID,82.96,overcast clouds,5.8933,95.3214,Hotel Citra
307,Axim,GH,78.87,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
316,Bam,IR,76.35,broken clouds,29.105999999999998,58.357,Bam Tourist Hotel
323,Muli,MV,82.74,clear sky,2.9167,73.5667,Medhufushi Island Resort
326,Fare,PF,82.44,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
327,Voh,NC,78.84,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
328,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
331,San Ignacio,BZ,75.2,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
335,Bambanglipuro,ID,85.14,broken clouds,-7.95,110.2833,Puri Brata
339,Sinnamary,GF,77.58,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
340,Vicam,MX,78.01,clear sky,27.6333,-110.2833,Hotel Las Palmas
348,Pontianak,ID,87.8,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
349,Aden,YE,79.97,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
350,Sur,OM,85.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
352,Grand-Lahou,CI,78.69,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
355,Muncar,ID,84.76,overcast clouds,-8.4333,114.3333,Zaky Homestay
358,Faanui,PF,82.8,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Araouane,ML,78.57,clear sky,18.9048,-3.5265,
361,Iquitos,PE,77.0,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
364,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
369,Mazagao,BR,82.4,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
377,Chumphon,TH,84.2,few clouds,10.3333,98.8333,สกาน จ๋า.
378,Vila Do Maio,CV,75.2,clear sky,15.1333,-23.2167,Residence 'I Delfini'
386,Port Blair,IN,83.48,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
387,Remuna,IN,88.0,clear sky,21.5261,86.8722,Nocci Residency
