City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
79,Saint-Pierre,RE,2021-04-03 18:28:30,-21.3393,55.4781,78.8,73,20,4.61
80,Cidreira,BR,2021-04-03 18:28:31,-30.1811,-50.2056,75.24,67,0,13.29
81,Ossora,RU,2021-04-03 18:28:31,59.2353,163.0719,-3.77,83,23,5.26
82,Sokoni,TZ,2021-04-03 18:28:31,-6.4333,39.55,82.4,78,40,19.57
83,Hithadhoo,MV,2021-04-03 18:23:56,-0.6,73.0833,83.95,74,68,16.98
84,Krasnoselkup,RU,2021-04-03 18:28:32,65.7,82.4667,27.39,95,100,4.63
85,Castro,BR,2021-04-03 18:28:32,-24.7911,-50.0119,73.85,53,30,4.79
86,Port Alfred,ZA,2021-04-03 18:28:32,-33.5906,26.891,65.08,74,35,16.55
87,Meulaboh,ID,2021-04-03 18:28:32,4.1363,96.1285,76.87,83,100,0.89
88,Hamilton,US,2021-04-03 18:24:43,39.1834,-84.5333,59.0,24,1,10.36
89,Nybro,SE,2021-04-03 18:28:33,56.7446,15.9071,39.2,65,53,5.75
90,Mataura,NZ,2021-04-03 18:28:33,-46.1927,168.8643,62.01,58,21,15.01
91,Broome,US,2021-04-03 18:28:33,42.2506,-75.833,46.99,28,1,6.91
92,Poso,ID,2021-04-03 18:28:34,-1.3959,120.7524,80.01,79,79,4.43
93,Puerto Del Rosario,ES,2021-04-03 18:26:30,28.5004,-13.8627,68.0,64,20,17.27
94,Ejura,GH,2021-04-03 18:28:34,7.3856,-1.3562,92.19,32,88,5.26
95,Georgetown,MY,2021-04-03 18:28:35,5.4112,100.3354,84.0,89,20,5.75
96,Hilo,US,2021-04-03 18:24:19,19.7297,-155.09,70.0,83,75,3.44
97,Ambulu,ID,2021-04-03 18:28:35,-8.345,113.6058,75.63,90,57,3.31
98,Puerto Escondido,MX,2021-04-03 18:28:35,15.85,-97.0667,87.8,74,1,11.5
99,Sijunjung,ID,2021-04-03 18:28:36,-0.6876,100.9537,71.24,97,100,2.73
100,Torbay,CA,2021-04-03 18:28:36,47.6666,-52.7314,46.99,87,90,13.8
101,Kapaa,US,2021-04-03 18:28:36,22.0752,-159.319,73.4,73,1,17.27
102,Ngunguru,NZ,2021-04-03 18:28:36,-35.6167,174.5,57.99,96,62,5.12
103,Fuerte Olimpo,PY,2021-04-03 18:28:10,-21.0415,-57.8738,97.81,29,97,3.29
104,Norman Wells,CA,2021-04-03 18:28:37,65.282,-126.8329,1.4,71,75,4.61
105,Kjopsvik,NO,2021-04-03 18:28:37,68.097,16.3742,39.99,93,90,18.41
106,Biltine,TD,2021-04-03 18:28:38,14.5333,20.9167,87.67,11,3,11.63
107,Severo-Kurilsk,RU,2021-04-03 18:28:38,50.6789,156.125,33.62,93,100,20.87
108,New Norfolk,AU,2021-04-03 18:28:38,-42.7826,147.0587,60.8,44,75,10.36
109,Tuatapere,NZ,2021-04-03 18:28:39,-46.1333,167.6833,62.01,58,6,15.01
110,Moron,AR,2021-04-03 18:28:39,-34.6534,-58.6198,80.01,41,0,10.36
111,Praia,CV,2021-04-03 18:28:39,14.9215,-23.5087,86.0,21,0,16.11
112,Stornoway,GB,2021-04-03 18:28:40,58.2093,-6.3865,46.4,76,75,11.5
113,Provideniya,RU,2021-04-03 18:28:40,64.3833,-173.3,5.5,92,99,10.04
114,Banda Aceh,ID,2021-04-03 18:28:40,5.5577,95.3222,80.13,75,92,11.27
115,Ueki,JP,2021-04-03 18:28:40,32.9,130.6833,66.0,72,55,11.01
116,Barentu,ER,2021-04-03 18:28:41,15.1139,37.5928,78.21,31,20,9.89
117,Hobart,AU,2021-04-03 18:28:41,-42.8794,147.3294,60.8,44,75,10.36
118,Pundaguitan,PH,2021-04-03 18:28:41,6.3711,126.1689,82.11,77,96,13.82
119,Vila Velha,BR,2021-04-03 18:28:42,-20.3297,-40.2925,80.6,74,40,13.8
120,Cabo San Lucas,MX,2021-04-03 18:24:26,22.8909,-109.9124,86.0,39,20,4.61
121,Shumskiy,RU,2021-04-03 18:28:42,54.8318,99.1328,34.5,78,100,7.34
122,Inhambane,MZ,2021-04-03 18:28:42,-23.865,35.3833,78.01,69,20,9.22
123,Maniwaki,CA,2021-04-03 18:28:43,46.3834,-75.966,48.2,21,42,11.5
124,Saint-Augustin,CA,2021-04-03 18:28:43,51.226,-58.6502,35.2,99,100,4.99
125,Changde,CN,2021-04-03 18:28:44,29.0464,111.6783,51.64,87,100,10.6
126,Erzin,TR,2021-04-03 18:28:44,36.9559,36.2,61.0,83,23,4.5
127,Havre-Saint-Pierre,CA,2021-04-03 18:28:44,50.2334,-63.5986,28.4,80,75,11.5
128,Victoria,HK,2021-04-03 18:28:44,22.2855,114.1577,78.01,74,10,1.99
129,Harper,LR,2021-04-03 18:28:45,4.375,-7.7169,82.29,77,66,7.4
130,Chandler,US,2021-04-03 18:27:54,33.3062,-111.8412,88.0,14,1,1.07
131,Tambovka,RU,2021-04-03 18:28:45,50.0969,128.0489,26.6,39,0,6.71
132,Chuy,UY,2021-04-03 18:28:45,-33.6971,-53.4616,74.26,53,34,10.25
133,Pangnirtung,CA,2021-04-03 18:24:38,66.1451,-65.7125,-2.2,55,1,4.61
134,Cap-Aux-Meules,CA,2021-04-03 18:28:46,47.3821,-61.8597,32.0,93,100,2.3
135,Carnarvon,AU,2021-04-03 18:28:46,-24.8667,113.6333,78.8,83,0,13.8
136,Lebu,CL,2021-04-03 18:24:58,-37.6167,-73.65,61.59,68,10,13.09
137,Lagoa,PT,2021-04-03 18:28:47,39.05,-27.9833,59.29,90,82,30.47
138,Hofn,IS,2021-04-03 18:28:47,64.2539,-15.2082,43.39,82,100,15.9
139,Port-Gentil,GA,2021-04-03 18:28:47,-0.7193,8.7815,77.0,88,20,2.3
140,Araouane,ML,2021-04-03 18:28:47,18.9048,-3.5265,92.32,4,24,8.66
141,Ukiah,US,2021-04-03 18:26:16,39.1502,-123.2078,51.8,62,1,4.61
142,Tautira,PF,2021-04-03 18:28:48,-17.7333,-149.15,80.6,74,40,5.75
143,Constitucion,CL,2021-04-03 18:25:13,-35.3333,-72.4167,67.28,56,2,9.89
144,Kavieng,PG,2021-04-03 18:28:48,-2.5744,150.7967,81.64,75,72,4.07
145,Birao,CF,2021-04-03 18:28:49,10.2849,22.7882,85.98,14,74,5.26
146,Veraval,IN,2021-04-03 18:28:49,20.9,70.3667,78.78,78,2,8.03
147,Corning,US,2021-04-03 18:28:49,42.1428,-77.0547,48.2,21,1,10.36
148,Ostrovnoy,RU,2021-04-03 18:28:50,68.0531,39.5131,16.43,94,40,8.97
149,Ballina,AU,2021-04-03 18:28:50,-28.8667,153.5667,73.4,78,75,8.05
150,Butaritari,KI,2021-04-03 18:28:50,3.0707,172.7902,82.47,77,50,15.39
151,Avarua,CK,2021-04-03 18:28:51,-21.2078,-159.775,80.6,83,40,8.05
152,Muros,ES,2021-04-03 18:28:51,42.7762,-9.0603,64.99,57,0,12.17
153,Makakilo City,US,2021-04-03 18:28:51,21.3469,-158.0858,73.4,64,1,8.05
154,Porto Santo,PT,2021-04-03 18:28:51,33.072,-16.3415,62.6,59,20,13.8
155,Richards Bay,ZA,2021-04-03 18:28:52,-28.783,32.0377,71.38,62,78,11.5
156,Okhotsk,RU,2021-04-03 18:28:52,59.3833,143.3,22.62,71,100,12.26
157,Bambous Virieux,MU,2021-04-03 18:28:52,-20.3428,57.7575,81.0,83,40,6.91
158,Praia Da Vitoria,PT,2021-04-03 18:28:53,38.7333,-27.0667,61.0,94,75,24.52
159,Alofi,NU,2021-04-03 18:28:53,-19.0595,-169.9187,68.0,100,80,1.14
160,Kodiak,US,2021-04-03 18:28:53,57.79,-152.4072,46.4,61,1,8.05
161,Mar Del Plata,AR,2021-04-03 18:26:10,-38.0023,-57.5575,77.0,53,40,5.75
162,Matagami,CA,2021-04-03 18:28:54,49.7502,-77.6328,42.8,28,1,11.5
163,Klaksvik,FO,2021-04-03 18:28:54,62.2266,-6.589,44.6,87,90,29.93
164,Geraldton,AU,2021-04-03 18:28:54,-28.7667,114.6,73.4,68,86,10.36
165,Shenjiamen,CN,2021-04-03 18:28:55,29.9576,122.298,52.68,88,100,21.41
166,Upernavik,GL,2021-04-03 18:28:55,72.7868,-56.1549,-10.66,85,28,6.35
167,Taoudenni,ML,2021-04-03 18:28:55,22.6783,-3.9836,98.76,6,97,11.9
168,Berlevag,NO,2021-04-03 18:28:56,70.8578,29.0864,30.2,80,0,31.07
169,Berdigestyakh,RU,2021-04-03 18:28:56,62.0989,126.6992,-24.23,100,74,1.28
170,Sobolevo,RU,2021-04-03 18:28:56,54.4299,31.8996,36.05,80,98,5.57
171,Paita,PE,2021-04-03 18:28:57,-5.0892,-81.1144,82.4,57,0,11.5
172,Bluff,NZ,2021-04-03 18:28:57,-46.6,168.3333,62.01,58,36,15.01
173,Saint George,US,2021-04-03 18:28:57,37.1041,-113.5841,78.01,18,4,1.99
174,Port Blair,IN,2021-04-03 18:25:56,11.6667,92.75,79.45,76,91,3.06
175,Asyut,EG,2021-04-03 18:24:07,27.181,31.1837,64.4,36,0,12.66
176,Nueve De Julio,AR,2021-04-03 18:28:58,-35.4444,-60.8831,76.35,47,35,10.31
177,Souillac,MU,2021-04-03 18:28:58,-20.5167,57.5167,80.6,83,40,6.91
178,Aykhal,RU,2021-04-03 18:28:58,66.0,111.5,-20.43,100,100,4.34
179,Gizo,SB,2021-04-03 18:28:59,-8.103,156.8419,83.12,75,95,6.67
180,Teguise,ES,2021-04-03 18:28:59,29.0605,-13.564,68.0,60,40,20.71
181,Tucurui,BR,2021-04-03 18:28:59,-3.7661,-49.6725,87.8,62,81,1.97
182,Saint-Joseph,RE,2021-04-03 18:29:00,-21.3667,55.6167,78.8,73,20,4.61
183,Bentiu,SS,2021-04-03 18:29:00,9.2333,29.8333,91.35,15,42,5.7
184,Moroni,KM,2021-04-03 18:29:00,-11.7022,43.2551,80.53,78,50,2.8
185,Longyearbyen,SJ,2021-04-03 18:25:16,78.2186,15.6401,19.4,68,75,13.8
186,Saskylakh,RU,2021-04-03 18:29:01,71.9167,114.0833,-24.3,100,89,2.44
187,Brainerd,US,2021-04-03 18:24:21,46.358,-94.2008,63.0,17,1,11.5
188,Vredendal,ZA,2021-04-03 18:29:01,-31.6683,18.5012,68.32,51,0,11.25
189,Westport,US,2021-04-03 18:29:01,41.1415,-73.3579,50.0,20,1,11.5
190,San Juan,AR,2021-04-03 18:27:02,-31.5375,-68.5364,83.57,32,5,6.35
191,Ila,NO,2021-04-03 18:29:02,63.4305,10.3705,44.01,76,72,3.0
192,Oskemen,KZ,2021-04-03 18:29:02,49.9565,82.6119,24.8,80,41,3.71
193,Orbetello,IT,2021-04-03 18:29:02,42.4408,11.2196,57.2,94,90,6.91
194,Pevek,RU,2021-04-03 18:29:03,69.7008,170.3133,-25.42,99,89,2.66
195,Palpa,PE,2021-04-03 18:29:03,-14.5336,-75.1856,89.08,40,83,9.08
196,Vanimo,PG,2021-04-03 18:29:04,-2.6741,141.3028,76.6,89,100,6.64
197,Zarechnyy,RU,2021-04-03 18:29:04,53.2036,45.1923,32.43,96,100,7.94
198,Te Anau,NZ,2021-04-03 18:29:04,-45.4167,167.7167,55.0,77,29,13.18
199,Altay,CN,2021-04-03 18:29:05,47.8667,88.1167,30.33,32,0,10.18
200,Mehamn,NO,2021-04-03 18:29:05,71.0357,27.8492,31.91,84,100,21.05
201,Aksu,CN,2021-04-03 18:29:05,41.1231,80.2644,41.4,75,60,10.98
202,Daraitan,PH,2021-04-03 18:29:05,14.6028,121.4319,80.01,78,20,5.75
203,Belmonte,BR,2021-04-03 18:29:06,-15.8631,-38.8828,84.2,79,75,6.91
204,Karratha,AU,2021-04-03 18:29:06,-20.7377,116.8463,82.8,51,43,5.44
205,Ancud,CL,2021-04-03 18:29:07,-41.8697,-73.8203,68.0,55,0,4.61
206,Lompoc,US,2021-04-03 18:29:07,34.6391,-120.4579,57.2,67,37,10.16
207,Mahebourg,MU,2021-04-03 18:29:07,-20.4081,57.7,80.6,83,40,6.91
208,Mezen,RU,2021-04-03 18:29:08,65.8522,44.24,20.52,95,55,0.47
209,Marquette,US,2021-04-03 18:29:08,46.5333,-87.6335,52.0,35,14,4.0
210,Rio Grande,BR,2021-04-03 18:26:16,-32.035,-52.0986,78.8,65,75,12.66
211,Bosobolo,CD,2021-04-03 18:29:08,4.1833,19.9,76.06,65,97,0.58
212,Ust-Barguzin,RU,2021-04-03 18:29:09,53.45,108.9833,26.8,90,99,4.12
213,Ensenada,MX,2021-04-03 18:29:09,31.8667,-116.6167,64.99,78,23,1.99
214,Pisco,PE,2021-04-03 18:29:09,-13.7,-76.2167,75.99,73,0,8.05
215,Malanje,AO,2021-04-03 18:29:10,-9.5402,16.341,66.65,94,96,3.11
216,Husavik,IS,2021-04-03 18:29:10,66.0449,-17.3389,44.6,61,90,8.05
217,Xai-Xai,MZ,2021-04-03 18:29:10,-25.0519,33.6442,74.71,77,74,12.95
218,Itaituba,BR,2021-04-03 18:29:10,-4.2761,-55.9836,91.4,58,20,9.22
219,Kamenka,RU,2021-04-03 18:29:11,51.3223,42.7678,35.01,93,100,9.73
220,Fairbanks,US,2021-04-03 18:29:11,64.8378,-147.7164,19.99,86,90,4.61
221,Vardo,NO,2021-04-03 18:29:11,70.3705,31.1107,30.2,80,0,31.07
222,Grand Island,US,2021-04-03 18:28:00,40.925,-98.342,75.2,17,1,13.8
223,Mago,RU,2021-04-03 18:29:12,53.2514,140.1822,19.74,79,100,22.32
224,Marzuq,YE,2021-04-03 18:29:12,14.4,46.4667,71.94,38,18,6.49
225,Kasempa,ZM,2021-04-03 18:29:12,-13.4584,25.8338,65.66,78,29,5.01
226,Presidencia Roque Saenz Pena,AR,2021-04-03 18:29:13,-26.7852,-60.4388,86.0,41,3,1.99
227,Los Llanos De Aridane,ES,2021-04-03 18:29:13,28.6585,-17.9182,68.0,60,40,11.5
228,Gap,FR,2021-04-03 18:29:13,44.6667,6.0,43.0,56,14,5.01
229,Salinopolis,BR,2021-04-03 18:27:08,-0.6136,-47.3561,77.76,88,90,8.01
230,Axim,GH,2021-04-03 18:29:14,4.8699,-2.2405,81.63,81,57,8.72
231,Sabana De Torres,CO,2021-04-03 18:29:14,7.3915,-73.4957,80.6,69,40,4.61
232,Yerbogachen,RU,2021-04-03 18:29:14,61.2767,108.0108,6.96,97,100,3.58
233,Kihei,US,2021-04-03 18:29:15,20.785,-156.4656,71.6,83,40,8.05
234,Honningsvag,NO,2021-04-03 18:29:15,70.9821,25.9704,33.96,81,100,30.56
235,Hambantota,LK,2021-04-03 18:29:15,6.1241,81.1185,78.8,83,0,4.61
236,Srednekolymsk,RU,2021-04-03 18:29:16,67.45,153.6833,-21.44,99,99,1.83
237,Katsuura,JP,2021-04-03 18:29:16,35.1333,140.3,62.01,79,83,1.99
238,Luanda,AO,2021-04-03 18:29:17,-8.8368,13.2343,78.8,94,90,4.61
239,Arraial Do Cabo,BR,2021-04-03 18:29:17,-22.9661,-42.0278,82.4,69,20,14.97
240,Villa Juarez,MX,2021-04-03 18:29:17,24.6536,-107.5411,84.2,42,75,9.22
