City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
473,Richards Bay,ZA,-28.783,32.0377,64.62,78,11,5.91,few clouds
474,Mogadishu,SO,2.0371,45.3438,81.48,78,21,9.86,few clouds
475,Seddon,AU,-37.8068,144.8916,84.0,57,0,8.05,clear sky
476,Caravelas,BR,-17.7125,-39.2481,76.23,82,100,4.79,overcast clouds
477,Hofn,IS,64.2539,-15.2082,28.22,64,5,26.51,clear sky
478,Pankrushikha,RU,53.8319,80.3406,27.25,85,5,5.84,clear sky
479,San Jose,US,37.3394,-121.895,57.2,58,75,11.5,broken clouds
480,Progreso,MX,21.2833,-89.6667,73.99,75,8,18.48,clear sky
481,Traverse City,US,44.7631,-85.6206,39.2,75,1,3.44,clear sky
482,Ornskoldsvik,SE,63.2909,18.7153,39.2,81,75,19.57,broken clouds
483,Fuyu,CN,45.1833,124.8167,50.81,15,0,9.75,clear sky
484,Gimli,CA,50.6336,-96.9907,41.0,48,100,11.5,overcast clouds
485,Haykavan,AM,40.8031,43.7517,30.2,69,40,1.14,scattered clouds
486,Fort Morgan,US,40.2503,-103.8,66.2,8,1,8.05,clear sky
487,Basi,IN,26.8333,76.0333,78.8,21,0,4.61,haze
488,Kaeo,NZ,-35.1,173.7833,72.12,56,14,8.37,few clouds
489,Key West,US,24.5557,-81.7826,71.6,56,90,13.8,overcast clouds
490,Oranjestad,AW,12.524,-70.027,79.0,83,20,17.27,few clouds
491,Ndele,CF,8.4109,20.6473,74.59,61,62,0.94,broken clouds
492,Fortuna,US,40.5982,-124.1573,52.0,81,90,6.91,overcast clouds
493,Boa Vista,BR,2.8197,-60.6733,84.2,65,75,9.22,broken clouds
494,Safranbolu,TR,41.2508,32.6942,44.55,84,54,2.06,broken clouds
495,Provideniya,RU,64.3833,-173.3,9.86,80,100,6.73,overcast clouds
496,Inongo,CD,-1.95,18.2667,72.81,93,100,1.66,overcast clouds
497,Nenagh,IE,52.8619,-8.1967,37.4,93,0,1.14,clear sky
498,Emba,KZ,48.8264,58.1442,33.46,98,100,9.66,overcast clouds
499,Udachnyy,RU,66.4167,112.4,-7.11,88,96,8.34,overcast clouds
500,Porto Walter,BR,-8.2686,-72.7439,70.59,99,100,2.44,overcast clouds
501,Toamasina,MG,-18.1667,49.3833,73.4,94,20,4.61,few clouds
502,Savannah Bight,HN,16.45,-85.85,78.01,86,33,19.37,scattered clouds
503,Salamiyah,SY,35.0113,37.0532,47.28,93,1,8.16,clear sky
504,Kloulklubed,PW,7.0419,134.2556,86.0,74,75,9.22,broken clouds
505,Biloela,AU,-24.4167,150.5,76.64,73,100,20.74,light rain
506,Menomonie,US,44.8755,-91.9193,52.0,39,1,3.44,clear sky
507,Marienburg,PL,54.0359,19.0266,30.99,90,37,5.66,scattered clouds
508,Myitkyina,MM,25.3833,97.4,87.62,18,34,0.49,scattered clouds
509,Adrar,MR,20.5022,-10.0711,77.36,25,71,8.39,broken clouds
510,Workington,GB,54.6425,-3.5441,37.0,94,17,8.86,few clouds
511,Nishihara,JP,26.1842,127.7558,71.6,83,90,19.57,mist
512,Moctezuma,MX,29.8,-109.6667,76.37,14,0,4.23,clear sky
513,Leh,IN,34.1667,77.5833,27.86,34,1,2.01,clear sky
514,Alexandria,EG,31.2156,29.9553,51.8,93,0,3.44,clear sky
515,Blackwater,AU,-23.5833,148.8833,84.6,51,100,16.24,overcast clouds
516,Praia,CV,14.9215,-23.5087,75.2,41,0,17.27,clear sky
517,Itaituba,BR,-4.2761,-55.9836,72.43,99,100,2.26,overcast clouds
518,North Bend,US,43.4065,-124.2243,51.8,82,1,5.75,clear sky
519,Utete,TZ,-7.986,38.758,72.54,98,100,2.89,moderate rain
520,Alice Springs,AU,-23.7,133.8833,87.01,26,0,11.5,clear sky
521,Daru,PG,-9.0763,143.2092,81.43,73,100,13.09,overcast clouds
522,Goderich,CA,43.7501,-81.7165,44.6,49,4,5.75,clear sky
523,Asau,RO,46.4333,26.4,39.0,62,99,3.6,light rain
524,Martinsburg,US,39.4562,-77.9639,44.6,36,40,3.91,scattered clouds
525,Lano,NG,10.1725,11.4715,77.38,15,81,5.7,broken clouds
526,Rundu,NA,-17.9333,19.7667,62.74,64,6,4.59,clear sky
527,Ionia,US,42.9873,-85.0711,50.0,50,1,5.75,clear sky
528,Srivardhan,IN,18.0333,73.0167,79.47,70,65,3.42,broken clouds
529,Beitbridge,ZW,-22.2167,30.0,66.45,86,26,14.97,scattered clouds
530,La Libertad,EC,-2.2333,-80.9,75.43,83,45,5.79,scattered clouds
531,Vohibinany,MG,-17.35,49.0333,69.28,98,18,2.46,few clouds
532,Panjab,AF,34.388,67.0233,38.55,98,100,3.71,overcast clouds
533,Dawson Creek,CA,55.7666,-120.2362,42.8,49,1,3.44,clear sky
534,Ambanja,MG,-13.6833,48.45,73.08,90,11,3.71,few clouds
535,Barra Do Corda,BR,-5.5,-45.25,73.04,92,71,0.94,broken clouds
536,Namatanai,PG,-3.6667,152.4333,83.23,73,100,5.14,moderate rain
537,Narasannapeta,IN,18.4167,84.05,84.34,59,48,5.73,scattered clouds
538,Porvoo,FI,60.3923,25.6651,34.0,88,88,8.25,overcast clouds
539,Baykit,RU,61.67,96.37,30.4,85,98,3.83,overcast clouds
540,Jumla,NP,29.2747,82.1838,55.17,10,0,3.85,clear sky
541,Dutlwe,BW,-23.9833,23.9,69.22,40,0,6.06,clear sky
542,Henties Bay,NA,-22.116,14.2845,68.45,73,1,4.92,clear sky
543,Sisophon,KH,13.5859,102.9737,90.55,53,99,3.24,overcast clouds
544,Kankan,GN,10.3854,-9.3057,79.95,24,11,6.31,few clouds
545,Cabatuan,PH,10.8794,122.486,88.9,50,16,13.51,few clouds
546,Mount Gambier,AU,-37.8333,140.7667,69.8,60,40,12.66,scattered clouds
547,San Luis,AR,-33.295,-66.3356,64.85,64,1,12.59,clear sky
548,Toyooka,JP,35.5333,134.8333,60.8,94,75,10.36,moderate rain
549,Verkhnevilyuysk,RU,63.4453,120.3167,4.03,80,100,3.11,overcast clouds
550,Sulangan,PH,11.1373,123.7228,82.45,69,68,12.84,broken clouds
551,Oberstdorf,DE,47.4,10.2833,28.99,81,29,1.01,scattered clouds
552,Hegang,CN,47.4,130.3667,47.28,22,1,10.8,clear sky
553,Saint-Joseph,RE,-21.3667,55.6167,77.0,69,0,8.05,clear sky
554,Eskil,TR,38.4017,33.4131,44.04,80,0,8.14,clear sky
555,Epe,NG,6.5841,3.9834,77.95,90,63,2.48,broken clouds
556,Blagoyevo,RU,63.3667,47.9167,25.43,96,97,1.23,overcast clouds
557,Rocha,UY,-34.4833,-54.3333,59.76,94,0,4.07,clear sky
558,Bloomingdale,US,27.8936,-82.2404,63.0,59,1,5.75,clear sky
